0,1,2,3,금액,가입방법,대상,우대조건
e-그린세이브예금,SC제일은행, 1000000, 100000000, 인터넷뱅킹 모바일뱅킹,개인(개인사업자포함),첫거래
올해는예금[시즌3],경남은행, 1000000, 1000000000, BNK경남은행 모바일뱅킹 인터넷뱅킹 모바일웹 고객센터,실명의 개인,은행앱사용
JB 1·2·3 정기예금,전북은행, 1000000, 100000000, 인터넷뱅킹 모바일뱅킹 모바일Web,실명의 개인 및 개인사업자(임의단체 제외)/(1인 다계좌),재예치
IBK D-Day통장(단기중금채),IBK기업은행, 1000000, 1000000000, i-ONE뱅크 챗봇,"실명의 개인 (단, 개인사업자 및 외국인비거주자는 제외이며, 1인당 1계좌 신규 가능)",
Sh첫만남우대예금,SH수협은행, 1000000, 100000000, "비대면(인터넷뱅킹, 스마트폰뱅킹)",실명의 개인(1인 1계좌),첫거래
IBK첫만남통장(중금채),IBK기업은행, 1000000, 1000000000, i-ONE뱅크,"실명의 개인(개인사업자, 외국인비거주자 제외), 1인당 1계좌 가입가능",
IBK W통장(거치식),IBK기업은행, 1000000, 100000000, 영업점 인터넷뱅킹 i-ONE뱅크,"실명의 개인(개인사업자 제외), 1인당 30백만원까지 계좌수 제한없음",급여연동
헤이(Hey)정기예금,SH수협은행, 100000, 1000000000, 스마트폰뱅킹 인터넷뱅킹,실명의 개인,
BNK코리보연동정기예금,경남은행, 1000000, 100000000, 영업점 인터넷뱅킹 모바일뱅킹 고객센터,"제한없음 (단, 국가 및 지방자치단체 가입 불가)",카드사용
NH올원e예금,NH농협은행, 100000, 1000000000, 비대면채널,개인,
굿스타트예금,광주은행, 1000000, 100000000, 스마트뱅킹 모바일웹,실명의 개인(1인 1계좌),첫거래
SC제일 친환경비움예금,SC제일은행, 1000000, 1000000000, 영업점 모바일뱅킹,"실명의 개인 및 개인사업자 (외국인, 비거주자, 법인 제외)",
우리 첫거래우대 정기예금,우리은행, 1000000, 100000000, 스마트폰(스마트폰전용),실명의 개인 (1인 1계좌),은행앱사용

